"Real-time + Cronjob","Real-time + Cronjob"
"Related image optimizers cannot be found. Refer to installation guide and user guide to ensure they are installed / configured correctly. Cannot find: %s","Related image optimizers cannot be found. Refer to installation guide and user guide to ensure they are installed / configured correctly. Cannot find: %s"
Results,Results
"Search Engine Optimization","Search Engine Optimization"
Settings,Settings
"Skin Image Cache","Skin Image Cache"
"Skin Image Optimizing","Skin Image Optimizing"
"Skin Images","Skin Images"
Template,Template
"Template Image","Template Image"
"Template Image Cache","Template Image Cache"
"Template Image Optimizing","Template Image Optimizing"
"The cache has been flushed. You will also want to flush the <a href=""%s"">Full Page Cache</a>","The cache has been flushed. You will also want to flush the <a href=""%s"">Full Page Cache</a>"
"This must be a valid regular expression with the beginning and ending ""/"". For example, /page/. You can read the PHP preg documentation for more information","This must be a valid regular expression with the beginning and ending ""/"". For example, /page/. You can read the PHP preg documentation for more information"
"This will rewrite catalog images and apply expiration headers to them. This will use a lot more hard disk space.","This will rewrite catalog images and apply expiration headers to them. This will use a lot more hard disk space."
"This will rewrite CSS images and apply expiration headers to them to make the best use of the browser cache.","This will rewrite CSS images and apply expiration headers to them to make the best use of the browser cache."
"This will rewrite skin images and apply expiration headers to them. This will use a lot more hard disk space.","This will rewrite skin images and apply expiration headers to them. This will use a lot more hard disk space."
"This will rewrite template images and apply expiration headers to them. This will use a lot more hard disk space.","This will rewrite template images and apply expiration headers to them. This will use a lot more hard disk space."
"Unless you are using ""smushit"" as the optimizer, then exec() must be enabled in PHP for image optimization to work.","Unless you are using ""smushit"" as the optimizer, then exec() must be enabled in PHP for image optimization to work."
"Updated to %s","Updated to %s"
"Updated to %s because exec() is disabled. Contact your host to enable.","Updated to %s because exec() is disabled. Contact your host to enable."
"Updated to %s because software is not installed on the server: %s. Contact your host to install this software.","Updated to %s because software is not installed on the server: %s. Contact your host to install this software."
"URL Filter RegExp","URL Filter RegExp"
"Use the product name for catalog images","Use the product name for catalog images"
"Utility used to optimize gif images. Leave blank to disable or use <u>smushit</u> to use the experimental smushit online API. <b>Note: </b> Common server-side values are: <u>gifsicle -b -O3 %s 2>&1</u>","Utility used to optimize gif images. Leave blank to disable or use <u>smushit</u> to use the experimental smushit online API. <b>Note: </b> Common server-side values are: <u>gifsicle -b -O3 %s 2>&1</u>"
"Utility used to optimize jpg images. Leave blank to disable or use <u>smushit</u> to use the experimental smushit online API.  <b>Note: </b> Common server-side values are: <u>jpegoptim --strip-all %s 2>&1</u> Add ""--all-progressive --force"" to force progressive images","Utility used to optimize jpg images. Leave blank to disable or use <u>smushit</u> to use the experimental smushit online API.  <b>Note: </b> Common server-side values are: <u>jpegoptim --strip-all %s 2>&1</u> Add ""--all-progressive --force"" to force progressive images"
"Utility used to optimize png images. Leave blank to disable or use <u>smushit</u> to use the experimental smushit online API <b>Note:</b> Common server-side values are: <u>optipng -o7 %s 2>&1</u>, <u>pngout -f6 -kp -ks %s 2>&1</u>, and <u>pngquant -force 256 %s 2>&1</u> if you have pngquant installed and are okay with lossy compression. Smushit or pngout are usually the best.","Utility used to optimize png images. Leave blank to disable or use <u>smushit</u> to use the experimental smushit online API <b>Note:</b> Common server-side values are: <u>optipng -o7 %s 2>&1</u>, <u>pngout -f6 -kp -ks %s 2>&1</u>, and <u>pngquant -force 256 %s 2>&1</u> if you have pngquant installed and are okay with lossy compression. Smushit or pngout are usually the best."
"WARNING: normally you should not run this this through the web server. The cronjob will automatically optimize images. Please note, an image must be accessed on the site one time before it is optimized in most cases. Are you sure you want to proceed?","WARNING: normally you should not run this this through the web server. The cronjob will automatically optimize images. Please note, an image must be accessed on the site one time before it is optimized in most cases. Are you sure you want to proceed?"
"YUI Compressor (java)","YUI Compressor (java)"
