"Use '123456789a123456789a123456789a12' for testing purposes","Benutze '123456789a123456789a123456789a12' nur für das Testen"
"Enable cron synchronization","Cron Synchronisierung aktivieren"
"Lock Timeout","Timeout für Lock"
"Force resaving all products on next run","Alle Produkte beim nächsten Lauf zwangsweise neu exportieren"
"Log messages","Log Informationen"
"if set, sync messages will be logged to var/logs/rakuten-sync.log","wenn aktiviert, werden Informationen zum Sync gespeichert in var/logs/rakuten-sync.log"
"Rakuten tax: 19%","Rakuten Steuer: 19%"
"Rakuten tax: 7%","Rakuten Steuer: 7%"
"Rakuten tax: 0%","Rakuten Steuer: 0%"
"Rakuten tax: 10,7%","Rakuten Steuer: 10,7%"
"Rakuten tax: 10%","Rakuten Steuer: 10%"
"Rakuten tax: 12%","Rakuten Steuer: 12%"
"Rakuten tax: 20%","Rakuten Steuer: 20%"
"Enable automatic product synchronization","Automatische Produkt Synchronisierung aktivieren"
"Product is unavailable if stock qty is 0","Produkt ist nicht verfügbar wen Lagerstand 0"
"Set product to unavailable if stock qty is 0 on export.","Produkt soll auf Rakuten nicht angezeigt werden, wenn der Lagerstand < = 0 ist"
"Price source for variant products","Preisquelle für konfigurierbare Artikel"
"Enable automatic category synchronization","Automatische Kategorie-Synchronisierung aktivieren"
"Show Products in Category","Produkte in Kategorien anzeigen"
"Enable automatic order synchronization","Automatische Bestellungs-Sychronisierung aktivieren"
"Create new orders in magento on import from rakuten","Neue Bestellung in Magento anlegen, wenn von Rakuten importiert wird"
"Store used for imported orders","Verwendeter Store für importierte Bestellungen"
"Rakuten carrier: DHL","Rakuten Versanddienstleister: DHL"
"Rakuten carrier: Hermes","Rakuten Versanddienstleister: Hermes"
"Rakuten carrier: UPS","Rakuten Versanddienstleister: UPS"
"Rakuten carrier: DPD","Rakuten Versanddienstleister: DPD"
"Rakuten carrier: GLS","Rakuten Versanddienstleister: GLS"
"Rakuten carrier: Post","Rakuten Versanddienstleister: Post"
"Rakuten Payment Method","Rakuten Zahlart"
"Enabled","aktiviert"
"New order status","Neuer Bestellstatus"
"Title","Titel"
"Rakuten Shipping Method","Rakuten Versandmethode"
"Method name","Bezeichnung Methode"
"Calculate Handling Fee","Handling Gebühr berechnen"
"Handling Fee","Handling Gebühr"
"Sort order","Sortierung"
"Ship to applicable countries","Erlaubte Länder für Sendungen"
"Ship to Specific countries","Nur in bestimmte Länder schicken"
"Show method if not applicable","Methode anzeigen wenn nicht verfügbar"
"Displayed Error Message","Fehlermeldung anzeigen"
"Simple product [%s] should have only drop down or radio custom options","Einfaches Produkte [%s] darf nur Dropdown oder Radio-Button Optionen haben"
"Synchronization process is running","Synchronisierungsprozess läuft"
"Synchronization finished","Sychronisierung beendet"
"No synchronization processes are running","Kein Synchronisierungsprozess läuft"
"Can not find API URL for ""%s""","Kann keine API URL für %s finden"
"No more info is available","Keine weiteren Informationen verfügbar"
"There was an error creating dir for storage. Please check your permissions.","Es ist ein Fehler aufgetreten beim Anlegen des Verzeichnisses für den Zwischenspeicher, bitte prüfen Sie Ihre Rechte"
"There was an error loading default Rakuten categories. Please try to reload page.","Es ist ein Fehler aufgetreten beim Laden der Rakuten Kategorien. Bitte laden Sie die Seite neu."
"Data seem to be corrupted, please reload page.","Die Daten scheinen korrupt zu sein. Bitte laden Sie die Seite neu."
"Invalid Order ID List.","Ungültige Bestell-ID Liste"
"Cannot find order %s","Bestellung %s nicht gefunden"
"Can not find order %s","Bestellung %s nicht gefunden"
"Can not find corresponding magento order for %s","Korrespondierende Magento Bestellung %s nicht gefunden"
"Unknown rakuten order status ""%s""","Unbekannter Rakuten Bestell-Status %s"
"There was an error within stored categories.","Es gab einen Fehler innerhalb der gespeicherten Rakuten Kategorien"
"Fetching category list from Rakuten.","Kategorien werden von Rakuten abgeholt"
"Error occurred. No more info is available","Fehler aufgetreten. Keine weiteren Informationen verfügbar."
"Page %s of %s was processed.","Seite %s von %s verarbeitet"
"Category list was fetched from your Rakuten account.","Kategorie-Liste wurde von Ihrem Rakuten-Shop abgeholt"
"Categories syncing process was started.","Kategorie-Synchronisierung wurde gestartet"
"Preparing categories list.","Kategorie-Listen werden vorbereitet"
"Cleaning categories at Rakuten.","Kategorien werden in Rakuten gesäubert"
"Syncing categories to Rakuten.","Kategorien werden mit Rakuten Synchronisiert"
"Categories syncing process finished.","Kategorie-Synchronisierung abgeschlossen"
"Cannot load category %s","Kann Kategorie %s nicht laden"
"Category %s was synchronized to your Rakuten account.","Kategorie %s wurde zu Ihrem Rakuten-Shop übertragen"
"Category %s was deleted from your Rakuten account.","Kategorie %s wurde von Ihrem Rakuten-Shop gelöscht"
"Use price of simple products","Verwende den Preis von einfachen Produkten"
"Use price as set in configurable products","Verwende den Preis wie im konfigurierbaren Produkt festgelegt"
"Please, select Attribute Set","Bitte ein Attribut-Set wählen"
"Products from this category","Produkte von dieser Kategorie"
"Products from this category and subcategories","Produkte von dieser Kategorie und Unterkategorien"
"No products, only description","Keine Produkte, nur Beschreibung"
"Take from settings","Von den Produkteinstellungen"
"Error while parsing returned XML.","Fehler beim Verarbeiten der retournierten XML"
"Fetching product list from Rakuten.","Produktliste von Rakuten abholen"
"Product list was fetched from your Rakuten account.","Produktliste wurde von Ihrem Rakuten-Shop abgeholt"
"Cleaning products at Rakuten.","Produkte im Rakuten-Shop säubern"
"Product %s was fetched from your Rakuten account.","Produkt %s wurde von Rakuten-Shop abgeholt"
"Page %s of %s was fetched from your Rakuten account.","Produkt %s von %s wurde vom Rakuten-Shop abgeholt"
"Still %s products are in queue.","Noch %s Produkt(e) in der Warteschlange"
"No more products for export.","Keine weiteren Produkte zu exportieren"
"Product synchronization started.","Produkt Synchronisierung gestartet"
"Error while deleting product [%s]: %s","Fehler beim Löschen des Produktes [%s]: %s"
"Error while updating product [%s]: %s","Fehler beim Updaten des Produktes [%s]: %s"
"Exporting products to Rakuten.","Produkte nach Rakuten exportieren"
"Product synchronization finished.","Produkt-Synchronisierung abgeschlossen"
"No description","Keine Beschreibung"
"Configurable product does not contain child products. It will not be saved.","Konfigurierbares Produkt beinhaltet keine Varianten. Es wird nicht gespeichert."
"Some variant definitions need to be mapped.","Einige Varianten-Definitionen müssen gemapped werden"
"Cannot load product %s","Produkt %s kann nicht geladen werden"
"Simple product %s belongs to configurable. Skipped.","Einfaches Produkt %s gehört zu konfigurierbarem Produkt. Ausgelassen."
"Trying to recreate product %s.","Versuche Produkt %s neu zu erstellen"
"Product %s was synchronized to your Rakuten account.","Produkt %s wurde mit Rakuten-Shop synchronisiert"
"Product %s was deleted from your Rakuten account.","Produkt %s wurde aus Rakuten-Shop gelöscht"
"--Please Select--","-- Bitte wählen --"
"Other synchronization process is running.","Bestellungs-Synchronisierung läuft"
"Synchronization finished successfully.","Synchronisierung erfolgreich beendet"
"Rakuten Products","Rakuten Produkte"
"Sync product list with Rakuten","Produktliste mit Rakuten synchronisieren"
"Sync Products to Rakuten","Produkte mit Rakuten synchronisieren"
"Total %s records found","Anzahl %s Einträge gefunden"
"Rakuten ID","Rakuten ID"
"Visible","Sichtbar"
"Created At","Erstellt am"
"Sync Product","Produkt synchronisieren"
"Can not retrieve any data about products.","Kann keine Informationen über Produkte empfangen"
"Rakuten Categories Synchronization","Rakuten Kategorie Synchronisierung"
"Rakuten Categories","Rakuten Kategorien"
"Rakuten Synchronization Mappings","Rakuten Synchronisierungs-Mapping"
"Product Attributes Mapping","Produkt-Attribute Mapping"
"Rakuten Attribute","Rakuten Attribute"
"Magento Attribute","Magento Attribute"
"New Mapping","Neues Mapping"
"Product Variations Mapping","Produkt-Varianten Mapping"
"Variant definitions are limited to 20 chars only. Here is the list of values that do not meet this criteria.","Varianten Definitionen sind auf 20 Zeichen limitiert. Hier eine Liste der Werte, die dieses Kriterium nicht erfüllen."
"Variant Definition","Varianten Definitionen"
"Cron status","Cron Status"
"Last cron synchronization","Letzte Cron Synchronisierung"
"Next scheduled run","Nächster Lauf am"
"It seems, cron is not settled properly in your magento installation.","Es scheint, als ist der Cronjob nicht korrekt eingestellt für Ihre Magento-Installation"
"State of Rakuten Synchronization","Status der Rakuten Synchronisierung"
"Start Synchronization Now","Synchronisierung jetzt starten"
"Clear Synchronization State","Synchronisierung jetzt stoppen"
"An error occurred","Ein Fehler ist aufgetreten"
"Product attribute mapping","Produkt-Attribute Mapping"
"Synchronization state","Synchronisierung starten"
"Process is running out of memory. Stopping. Synchronization will proceed on next run.","Prozess hat zu wenig Speicher. Gestoppt. Synchronisierung wird beim nächsten Lauf durchgeführt."
"Process is reaches system execution time limit. Stopping. Synchronization will proceed on next run.","Prozess hat die maximale execution time des Systems erreicht. Gestoppt. Synchronisierung wird beim nächsten Lauf durchgeführt."
"Error while adding product [%s] to csv: %s","Fehler beim hinzufügen des Produktes [%s] zur csv: %s"
"Requests to Rakuten.de","Anfragen von Rakuten.de"
"Show answer...","Zeige Antwort..."
"Cleaning temporal sync data.","Temporäre Sync-Informationen löschen."
"Create CSV file with export data","CSV-Datei für zu exportierende Daten erstellen"
"Otherwise product data will be exported through web API.","Andernfalls werden Produkte über die Web-API exportiert."
"You may disable synchronization for products, categories or orders separately in corresponding sections","Sie können die Synchronisierung für Produkte, Kategorien oder Bestellungen sepparat in den entsprechenden Sektionen deaktivieren"
"In some cases syncing process may hang leaving connector in locked state. Set time in hours to clear lock after. 0 or less to never clear lock. You may clear lock if you need then on manual synchronization page.","In einigen Fällen kann der Synchronisierungs-Prozess hängen bleiben und den Connector blockieren (locked). Wählen Sie jenen Wert in Stunden, nachdem der Lock automatisch aufgehoben werden soll. 0 oder weniger um den Lock niemals zu löschen. Sie können den Lock auch manuell auf der Synchronisations-Seite entfernen."
"If 'Yes' all products will be synchronized to Rakuten even if they didn't change after last sync. If sync process run as cron job, this flag will be set to 'No' after all products were synced.","Wenn 'Ja' werden alle Produkte neu an Rakuten übertragen, auch wenn sie sich seit den letzten Sync nicht geändert haben. Wenn der Prozess als Cron Job läuft, so wird diese Einstellung automatisch wieder auf 'Nein' gestellt, sobald der nächste Synchronisierungs-Prozess abgeschlossen ist."
"Please, select corresponding tax class","Bitte wählen Sie eine passende Steuerklasse"
"Rakuten.de Product Settings","Rakuten.de Produkt Einstellungen"
"Rakuten.de Category Settings","Rakuten.de Kategorie Einstellungen"
"Rakuten.de Order Settings","Rakuten.de Bestellung Einstellungen"
"This setting is ignored if products are exported in csv file.","This setting is ignored if products are exported in csv file."
"Synchronize products only from selected categories","Synchronisieren Produkte nur von ausgewählten Kategorien"
